source,target
f_erythroxylum_coca_31,57.1
f_erythroxylum_coca_32,308.0
f_erythroxylum_coca_32,309.0
f_erythroxylum_coca_32,185.0
f_erythroxylum_coca_32,603.1
f_erythroxylum_coca_32,604.1
f_erythroxylum_coca_32,317.1
f_erythroxylum_coca_33,294.1
f_erythroxylum_coca_33,108.1
f_erythroxylum_coca_33,82.1
f_erythroxylum_coca_33,150.1
f_erythroxylum_coca_33,119.0
f_erythroxylum_coca_33,182.1
f_erythroxylum_coca_33,122.1
f_erythroxylum_coca_35,515.2
f_erythroxylum_coca_35,647.2
f_erythroxylum_coca_35,524.2
f_erythroxylum_coca_35,661.3
f_erythroxylum_coca_35,662.3
f_erythroxylum_coca_35,541.2
f_erythroxylum_coca_35,939.6
f_erythroxylum_coca_35,556.2
f_erythroxylum_coca_35,557.2
f_erythroxylum_coca_35,940.6
f_erythroxylum_coca_35,569.2
f_erythroxylum_coca_35,570.2
f_erythroxylum_coca_35,587.2
f_erythroxylum_coca_35,597.2
f_erythroxylum_coca_35,496.2
f_erythroxylum_coca_35,497.2
f_erythroxylum_coca_35,498.2
f_erythroxylum_coca_35,629.2
f_erythroxylum_coca_35,630.2
f_erythroxylum_coca_35,510.2
f_erythroxylum_coca_38,200.1
f_erythroxylum_coca_38,108.1
f_erythroxylum_coca_38,82.1
f_erythroxylum_coca_38,181.0
f_erythroxylum_coca_38,150.1
f_erythroxylum_coca_38,119.0
f_erythroxylum_coca_38,182.1
f_erythroxylum_coca_38,183.1
f_erythroxylum_coca_38,122.1
f_erythroxylum_coca_38,91.1
f_erythroxylum_coca_38,380.2
f_erythroxylum_coca_38,381.2
f_erythroxylum_coca_39,104.1
f_erythroxylum_coca_39,524.4
f_erythroxylum_coca_39,86.1
f_erythroxylum_coca_39,184.1
f_erythroxylum_coca_39,60.1
f_erythroxylum_coca_39,125.0
f_erythroxylum_coca_41,131.1
f_erythroxylum_coca_41,149.1
f_erythroxylum_coca_41,150.1
f_erythroxylum_coca_41,182.1
f_erythroxylum_coca_41,183.1
f_erythroxylum_coca_41,67.1
f_erythroxylum_coca_41,200.1
f_erythroxylum_coca_41,79.1
f_erythroxylum_coca_41,82.1
f_erythroxylum_coca_41,91.1
f_erythroxylum_coca_41,93.1
f_erythroxylum_coca_41,95.0
f_erythroxylum_coca_41,97.0
f_erythroxylum_coca_41,105.1
f_erythroxylum_coca_41,107.0
f_erythroxylum_coca_41,107.1
f_erythroxylum_coca_41,108.1
f_erythroxylum_coca_41,366.2
f_erythroxylum_coca_41,367.2
f_erythroxylum_coca_41,119.0
f_erythroxylum_coca_41,121.1
f_erythroxylum_coca_44,191.1
f_erythroxylum_coca_44,163.1
f_erythroxylum_coca_44,165.1
f_erythroxylum_coca_44,71.1
f_erythroxylum_coca_44,109.1
f_erythroxylum_coca_44,205.1
f_erythroxylum_coca_44,175.1
f_erythroxylum_coca_44,429.4
f_erythroxylum_coca_44,81.1
f_erythroxylum_coca_44,177.1
f_erythroxylum_coca_44,430.4
f_erythroxylum_coca_44,85.1
f_erythroxylum_coca_44,149.1
f_erythroxylum_coca_44,57.1
f_erythroxylum_coca_44,219.1
f_erythroxylum_coca_44,95.1
f_erythroxylum_coca_45,200.1
f_erythroxylum_coca_45,79.1
f_erythroxylum_coca_45,82.1
f_erythroxylum_coca_45,150.1
f_erythroxylum_coca_45,182.1
f_erythroxylum_coca_45,121.1
f_erythroxylum_coca_45,348.2
f_erythroxylum_coca_45,93.1
f_erythroxylum_coca_46,104.1
f_erythroxylum_coca_46,522.4
f_erythroxylum_coca_46,86.1
f_erythroxylum_coca_46,184.1
f_erythroxylum_coca_46,60.1
f_erythroxylum_coca_46,125.0
f_erythroxylum_coca_47,131.0
f_erythroxylum_coca_47,132.1
f_erythroxylum_coca_47,135.0
f_erythroxylum_coca_47,140.0
f_erythroxylum_coca_47,150.1
f_erythroxylum_coca_47,151.1
f_erythroxylum_coca_47,281.3
f_erythroxylum_coca_47,154.1
f_erythroxylum_coca_47,168.1
f_erythroxylum_coca_47,176.8
f_erythroxylum_coca_47,50.0
f_erythroxylum_coca_47,51.0
f_erythroxylum_coca_47,179.6
f_erythroxylum_coca_47,182.1
f_erythroxylum_coca_47,183.1
f_erythroxylum_coca_47,59.2
f_erythroxylum_coca_47,62.6
f_erythroxylum_coca_47,63.2
f_erythroxylum_coca_47,70.9
f_erythroxylum_coca_47,200.1
f_erythroxylum_coca_47,201.1
f_erythroxylum_coca_47,330.2
f_erythroxylum_coca_47,331.2
f_erythroxylum_coca_47,330.7
f_erythroxylum_coca_47,77.0
f_erythroxylum_coca_47,82.1
f_erythroxylum_coca_47,83.1
f_erythroxylum_coca_47,91.1
f_erythroxylum_coca_47,247.3
f_erythroxylum_coca_47,93.1
f_erythroxylum_coca_47,93.0
f_erythroxylum_coca_47,95.0
f_erythroxylum_coca_47,96.1
f_erythroxylum_coca_47,103.1
f_erythroxylum_coca_47,104.1
f_erythroxylum_coca_47,105.0
f_erythroxylum_coca_47,108.1
f_erythroxylum_coca_47,119.0
f_erythroxylum_coca_47,122.1
f_erythroxylum_coca_48,104.1
f_erythroxylum_coca_48,520.3
f_erythroxylum_coca_48,86.1
f_erythroxylum_coca_48,184.1
f_erythroxylum_coca_48,60.1
f_erythroxylum_coca_48,125.0
f_erythroxylum_coca_54,131.0
f_erythroxylum_coca_54,103.1
f_erythroxylum_coca_54,142.1
f_erythroxylum_coca_54,272.2
f_erythroxylum_coca_54,124.1
f_erythroxylum_coca_55,200.1
f_erythroxylum_coca_55,79.1
f_erythroxylum_coca_55,82.1
f_erythroxylum_coca_55,182.1
f_erythroxylum_coca_55,121.1
f_erythroxylum_coca_55,348.2
f_erythroxylum_coca_55,93.1
f_erythroxylum_coca_57,67.1
f_erythroxylum_coca_57,108.1
f_erythroxylum_coca_57,400.2
f_erythroxylum_coca_57,82.1
f_erythroxylum_coca_57,150.1
f_erythroxylum_coca_57,119.0
f_erythroxylum_coca_57,182.1
f_erythroxylum_coca_57,91.1
f_erythroxylum_coca_57,95.0
f_erythroxylum_coca_58,67.1
f_erythroxylum_coca_58,108.1
f_erythroxylum_coca_58,400.2
f_erythroxylum_coca_58,82.1
f_erythroxylum_coca_58,150.1
f_erythroxylum_coca_58,119.0
f_erythroxylum_coca_58,182.1
f_erythroxylum_coca_58,91.1
f_erythroxylum_coca_58,95.0
f_erythroxylum_coca_68,163.1
f_erythroxylum_coca_68,135.1
f_erythroxylum_coca_68,200.1
f_erythroxylum_coca_68,107.0
f_erythroxylum_coca_68,108.1
f_erythroxylum_coca_68,139.1
f_erythroxylum_coca_68,82.1
f_erythroxylum_coca_68,150.1
f_erythroxylum_coca_68,119.0
f_erythroxylum_coca_68,182.1
f_erythroxylum_coca_68,57.0
f_erythroxylum_coca_68,380.2
f_erythroxylum_coca_78,161.1
f_erythroxylum_coca_78,133.1
f_erythroxylum_coca_78,197.1
f_erythroxylum_coca_78,135.1
f_erythroxylum_coca_78,105.1
f_erythroxylum_coca_78,107.1
f_erythroxylum_coca_78,179.1
f_erythroxylum_coca_78,93.1
f_erythroxylum_coca_84,79.1
f_erythroxylum_coca_84,82.1
f_erythroxylum_coca_84,182.1
f_erythroxylum_coca_84,150.1
f_erythroxylum_coca_84,348.2
f_erythroxylum_coca_84,93.1
f_erythroxylum_coca_88,200.1
f_erythroxylum_coca_88,398.2
f_erythroxylum_coca_88,79.1
f_erythroxylum_coca_88,399.1
f_erythroxylum_coca_88,82.1
f_erythroxylum_coca_88,150.1
f_erythroxylum_coca_88,119.0
f_erythroxylum_coca_88,182.1
f_erythroxylum_coca_88,91.1
f_erythroxylum_coca_88,95.0
f_erythroxylum_coca_95,168.1
f_erythroxylum_coca_95,601.2
f_erythroxylum_coca_95,312.1
f_erythroxylum_coca_95,313.1
f_erythroxylum_coca_95,124.1
f_erythroxylum_coca_95,190.1
f_erythroxylum_coca_114,519.2
f_erythroxylum_coca_114,520.2
f_erythroxylum_coca_114,533.3
f_erythroxylum_coca_114,534.3
f_erythroxylum_coca_114,535.3
f_erythroxylum_coca_114,433.2
f_erythroxylum_coca_114,446.2
f_erythroxylum_coca_114,447.2
f_erythroxylum_coca_114,459.2
f_erythroxylum_coca_114,460.2
f_erythroxylum_coca_114,461.2
f_erythroxylum_coca_114,462.2
f_erythroxylum_coca_114,1742.1
f_erythroxylum_coca_114,592.3
f_erythroxylum_coca_114,593.3
f_erythroxylum_coca_114,594.3
f_erythroxylum_coca_114,595.3
f_erythroxylum_coca_114,871.6
f_erythroxylum_coca_114,872.6
f_erythroxylum_coca_114,873.6
f_erythroxylum_coca_114,492.3
f_erythroxylum_coca_114,505.2
f_erythroxylum_coca_114,506.2
f_erythroxylum_coca_117,200.1
f_erythroxylum_coca_117,82.1
